Time 		 Sensor 	 X 	 Y 	 Z 	 Temp 
2020_08_03, 15_18_20 
channel_19	, 19 	 , -52.00 	 , 88.00 	 , 920.00 	 , 271.02 
channel_19	, 19 	 , -55.00 	 , 87.00 	 , 920.00 	 , 271.02 
