Time 		 Sensor 	 X 	 Y 	 Z 	 Temp 
2020_08_03, 15_14_38 
channel_19	, 19 	 , -58.00 	 , 91.00 	 , 924.00 	 , 270.90 
channel_19	, 19 	 , -57.00 	 , 89.00 	 , 928.00 	 , 271.02 
